##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 30, 2015, 4:41 p.m.
## Download Date (Y/M/D): 
##
## Query String: 
##
#KIC,period,bjd0,morph,T2/T1,rho1+rho2,q,e_sin_omega,e_cos_omega,FF,sin_i,SC,
5620981,0.3335163,54964.760110,0.79,-999,-999,-999,-999,-999,-999,-999,False,
11502581,0.3336360,54964.875051,0.73,-999,-999,-999,-999,-999,-999,-999,False,
9097798,0.3340654,54964.725038,0.99,-999,-999,-999,-999,-999,-999,-999,False,
4945857,0.3354148,54964.838022,0.74,-999,-999,-999,-999,-999,-999,-999,False,
10255110,0.3367025,54953.626155,0.88,-999,-999,-999,-999,-999,-999,-999,False,
9110213,0.3370543,54964.662645,0.72,-999,-999,-999,-999,-999,-999,-999,False,
8211618,0.3374436,55000.238288,0.73,-999,-999,-999,-999,-999,-999,-999,False,
10447902,0.3374641,54964.634577,0.75,-999,-999,-999,-999,-999,-999,-999,False,
7362751,0.3382490,54964.744494,0.73,-999,-999,-999,-999,-999,-999,-999,False,
8563964,0.3384363,54953.846748,1.00,-999,-999,-999,-999,-999,-999,-999,False,
6368316,0.3385051,54964.638329,0.92,-999,-999,-999,-999,-999,-999,-999,False,
5615528,0.3391748,54964.771134,0.70,-999,-999,-999,-999,-999,-999,-999,False,
6615041,0.3400853,54964.806732,0.75,-999,-999,-999,-999,-999,-999,-999,False,
9094335,0.3407591,54964.696920,0.94,-999,-999,-999,-999,-999,-999,-999,False,
4244929,0.3414027,54964.746256,0.91,-999,-999,-999,-999,-999,-999,-999,False,
7889628,0.3423961,54964.793326,0.93,-999,-999,-999,-999,-999,-999,-999,False,
11083888,0.3426673,54964.688668,0.95,-999,-999,-999,-999,-999,-999,-999,False,
6843507,0.3431821,54964.768043,0.77,-999,-999,-999,-999,-999,-999,-999,False,
6286402,0.3433205,54964.713044,0.95,-999,-999,-999,-999,-999,-999,-999,False,
10388897,0.3437287,54964.754537,0.99,-999,-999,-999,-999,-999,-999,-999,True,
8004839,0.3437639,54964.961360,0.96,-999,-999,-999,-999,-999,-999,-999,False,
9639491,0.3445456,54964.925448,0.72,-999,-999,-999,-999,-999,-999,-999,False,
7890379,0.3451272,55000.254462,0.92,-999,-999,-999,-999,-999,-999,-999,False,
8230815,0.3452189,54953.681128,0.94,-999,-999,-999,-999,-999,-999,-999,False,
11572643,0.3454039,54953.744958,0.95,-999,-999,-999,-999,-999,-999,-999,False,
10020247,0.3455567,55000.036060,0.82,-999,-999,-999,-999,-999,-999,-999,False,
